'UNIFAC group parameters,,,,,,
'ID,SUB_ID,Main groups,Group,Rk,Qk,example,picture,JobackGroups,Elements
29,61,CH3SH,CH2SH,1.651,1.368,Ethanethiol: 1*CH3 1*CH2SH,Ethanethiol,1:2/1:39//,
30,62,Furfural,Furfural,3.168,2.484,Furfural: 1*Furfural,Furfural,1:23/3:14/1:15/1:26,
31,63,DOH,DOH,2.4088,2.248,1-2-Ethandiole: 1*DOH,1-2-Ethandiole,2:20/2:2//,
32,64,I,I,1.264,0.992,Iodoethane: 1*CH3 1*CH2 1*I,Iodoethane,1:19///,
33,65,Br,Br,0.9492,0.832,Bromoethane: 1*CH3 1*CH2 1*Br,Bromoethane,1:18///,
34,66,C#C,CH#C,1.292,1.088,1-Hexyne: 1*CH3 3*CH2 1*CH{triple}C,1-Hexyne,1:9/1:10//,
34,67,C#C,C#C,1.0613,0.784,2-Hexyne: 2*CH3 2*CH2 1*C{triple}C,2-Hexyne,2:10///,
35,68,DMSO,DMSO,2.8266,2.472,Dimethylsulfoxide: 1*DMSO,Dimethylsulfoxide,2:1/1:40/1:29/,
36,69,ACRY,Acrylonitrile,2.3144,2.052,Acrylonitrile: 1*Acrylonitrile,Acrylonitrile,1:5/1:6/1:37/,
37,70,ClCC,Cl-C=C,0.791,0.724,Trichloroethylene:  1*CH=C 3*Cl-(C=C),Trichloroethylene,1:17///,
38,71,ACF,ACF,0.6948,0.524,Hexafluorobenzene:  6*ACF,Hexafluorobenzene,1:15/1:16//,
39,72,DMF,DMF,3.0856,2.736,N-N-Dimethylformamide: 1*DMF,N-N-Dimethylformamide,2:1/1:26/1:33/,
39,73,DMF,HCON(CH2)2,2.6322,2.12,N-N-Diethylformamide: 2*CH3 1*HCON(CH2)2,N-N-Diethylformamide,2:2/1:26/1:33/,
40,74,CF2,CF3,1.406,1.38,1-1-1-Trifluoroethane: 1*CF3 1*CH3,1-1-1-Trifluoroethane,1:4/3:16//,
40,75,CF2,CF2,1.0105,0.92,Perfluorohexane: 2*CF3 4*CF2,Perfluorohexane,1:4/2:16//,
40,76,CF2,CF,0.615,0.46,Perfluoromethylcyclohexane: 1*CF3 5*CF2 1*CF,Perfluoromethylcyclohexane,1:4/1:16//,
41,77,COO,COO,1.38,1.2,Methylacrylate: 1*CH3 1*CH2=CH 1*COO,Methylacrylate,1:28///,
42,78,SiH2,SiH3,1.6035,1.263,Methylsilane: 1*CH3 1*SiH3,Methylsilane,///,Si:1/H:3
42,79,SiH2,SiH2,1.4443,1.006,Diethylsilane: 2*CH3 2*CH2 1*SiH2,Diethylsilane,///,Si:1/H:2
42,80,SiH2,SiH,1.2853,0.749,Heptamethyltrisiloxane:  7*CH3 2*SiO 1*SiH,Heptamethyltrisiloxane,///,Si:1/H:1
42,81,SiH2,Si,1.047,0.41,Hexamethyldisiloxane:  6*CH3 1*SiO 1*Si,Hexamethyldisiloxane,///,Si:1
43,82,SiO,SiH2O,1.4838,1.062,1-3-Dimethyldisiloxane: 3*CH3 1*SiH2O 1*SiH2,1.3-Dimethyldisiloxane,///,Si:1/H:2/O:1
43,83,SiO,SiHO,1.303,0.764,1-1-3-3-Tetramethyldisiloxane: 4*CH3 1*SiHO 1*SiH,1.1.3.3-Tetramethyldisiloxane,///,Si:1/H:1/O:1
43,84,SiO,SiO,1.1044,0.466,Octamethylcyclotetrasiloxane:  8*CH3 4*SiO,Octamethylcyclotetrasiloxane,///,Si:1/O:1
44,85,NMP,NMP,3.981,3.2,N-Methylpyrrolidone: 1*NMP,n-Methylpyrrolidone,///,
45,86,CClF,CCl3F,3.0356,2.644,Trichlorofluoromethane: 1*CCl3F,CCl3F Trichlorofluoromethane,1:4/3:17/1:16/,
45,87,CClF,CCl2F,2.2287,1.916,Tetrachloro-1.2-difluoroethane: 2*CCl2F,Tetrachloro-1.2-Difluoroethan,1:4/2:17/1:16/,
